organisation_1,organisation_2,organisation_3,trans_type,trans_range,origin_country,origin_site,origin_longitude,origin_latitude,capture_date,departure_time,destination_country,destination_site,destination_longitude,destination_latitude,release_time,species,total_individuals,males,females,notes
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Zambezi National Park,25.7102,-17.9783,3,southern_southafrican,3,,,Save Valley Conservancy
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Gonarezhou National Park,31.9065,-21.2676,7,southern_southafrican,7,,,Save Valley Conservancy
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Gonarezhou National Park,31.9065,-21.2676,7,southern_southafrican,7,,,Save Valley Conservancy
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Gonarezhou National Park,31.9065,-21.2676,7,southern_southafrican,7,,,Save Valley Conservancy
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Gonarezhou National Park,31.9065,-21.2676,11,southern_southafrican,11,,,Save Valley Conservancy
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Sango Ranch,,,01-01-13,,zwe,Gonarezhou National Park,31.9065,-21.2676,3,southern_southafrican,3,,,Save Valley Conservancy
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Bishopstone Ranch,,,01-01-14,,zwe,"Bally Vaughan, Shamva",,,4,southern_southafrican,4,,,Beitbridge
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Bishopstone Ranch,,,01-01-14,,zwe,"Village Place, Murewa",,,2,southern_southafrican,2,,,Beitbridge
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Canonkop,,,01-01-18,,zwe,"Bally Vaughan, Shamva",,,3,southern_southafrican,3,,,Mutorashanga
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Canonkop,,,01-01-18,,zwe,"Lanark, Beatrica",,,2,southern_southafrican,2,,,Mutorashanga
ZimParks,African Wildlife Management & Conservation,,,range,zwe,Dobropoulos,,,01-01-19,,zwe,"Nyamuswa Farm, Chinhoyi",,,2,southern_southafrican,2,,,Odzi
ZimParks,,,founder,range,zwe,Hwange National Park,26.5896,-19.1292,,,zwe,Lake Mutirikwi,,,,southern_southafrican,,,,Lake Mutirikwi (formerly Kyle Recreation Park)
ZimParks,,,founder,range,zwe,Hwange National Park,26.5896,-19.1292,,,zwe,Lake Chivero,,,,southern_southafrican,,,,
ZimParks,,,founder,range,zwe,Hwange National Park,26.5896,-19.1292,,,zwe,Muchandike,,,,southern_southafrican,,,,
ZimParks,,,founder,range,zwe,Hwange National Park,26.5896,-19.1292,,,zwe,Various private farms,,,,southern_southafrican,,,,
,,,,range,zwe,Bubye Valley Conservancy ,,,,,zwe,Save Valley Conservancy,32.0837,-20.5422,,southern_southafrican,,,,1980-90
,,,,range,zwe,Bubye Valley Conservancy,,,,,zwe,"Nottingham Estates, Limpopo River",,,,southern_southafrican,,,,
,,,,range,zwe,Bubye Valley Conservancy,,,,,zwe,"Falcon College, Esigodini",,,,southern_southafrican,,,,
,Elcombe Transport,,,range,zwe,"Driehoek Ranch, West Nicholson",,,01-01-89,,zwe,Save Valley Conservancy,32.0837,-20.5422,,southern_southafrican,7,,,Save Valley Conservancy (Humani)
,,,,range,zwe,"Driehoek Ranch, West Nicholson",,,01-01-89,,zwe,Save Valley Conservancy,32.0837,-20.5422,,southern_southafrican,13,,,Save Valley Conservancy (Humani)
,,,,range,zwe,"Broekman Ranch, West Nicholson",,,01-01-89,,zwe,Save Valley Conservancy,32.0837,-20.5422,,southern_southafrican,6,,,Save Valley Conservancy (Humani)
