time,event_type,event_category,state,location.latitude,location.longitude,reported_by.content_type,reported_by.id,reported_by.name,reported_by.subject_type,reported_by.subject_subtype,event_details.herd_size,event_details.herd_notes,event_details.river_system,event_details.image_prefix,giraffe_age,giraffe_sex,giraffe_left,giraffe_right,giraffe_notes,giraffe_id
19-11-19 10:37,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.36661,13.12319,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,ad,m,,,"Munch, Photo number: , 4565",HNBM039
19-11-19 10:37,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.36661,13.12319,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,,,,,could not get photo | ,
19-11-19 11:26,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.36641,13.1178,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,1,Hoanib,Hoanib,,ad,f,,,"FTD, Photo number: 4487",HNBF012
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,ad,m,,,"Ninja, Photo number: 4488, 4489",HSBM136
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,ad,m,,,"Coffee Bean, Photo number: , 4495",HNBM027
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,ad,f,,,"Kim, unit, possible estrus and mating with HNBM027 coffee bean | Photo number: , 4496",HNBF050
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,ad,m,,,"Baldy, Photo number: 4501, 4502, 4494",HNBM040
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,sa,m,,,"Brad, Photo number: , 4510",HNBM110
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,sa,f,,,"Aubrey, Photo number: , 4509",HNBF093
19-11-19 11:40,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38116,13.07591,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,7,Hoanib,Hoanib,,ad,f,,,"Present, unit | Photo number: , 4508",HNBF060
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,ad,f,,,"Peace, Photo number: 4512, 4513, 4514",HNBF036
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,ad,f,,," | Photo number: 4515, 4516, 4530",HNBF058
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,sa,f,,,"was HNBU023,, Photo number: 4517, 4518, 4519, 4520, 4521, 4532, 4533",HNBF126
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,sa,f,,,"Ivy, Photo number: 4551, 4536",HSBF096
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,sa,m,,,"Walter, Photo number: 4526, 4527, 4537, 4540",HNBM101
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,ad,f,,,"Robin, Photo number: 4538, 4539, 4561",HNBF065
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,sa,f,,,"N was HNBU031, | Photo number: 4543, 4544, 4545, 4550, 4554, 4560",HNBF130
19-11-19 12:28,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38562,13.04646,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,8,Hoanib,Hoanib,,sa,f,,,"N Was HNBU032, | Photo number: 4553, 4562, 4542",HNBF131
19-11-19 16:38,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38557,13.04647,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,2,Hoanib,Hoanib,,ad,m,,,"Long Spot, Photo number: 4567",HNBM028
19-11-19 16:38,giraffe_nw_monitoring0,monitoring_nanw,resolved,-19.38557,13.04647,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,2,Hoanib,Hoanib,,ad,m,,,"Eros, AAG | Photo number: 4568, 4569, 4570, 4571, 72",HNBM060
20-01-20 18:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.025,12.61346,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,ad,f,,,,KHBF027
20-01-20 18:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.025,12.61346,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,sa,m,,,"KHBU019, ",KHBM065
20-01-20 18:00,giraffe_nw_monitoring0,monitoring_nanw,resolved,-18.025,12.61346,observations.subject,8eb20288-2e90-4b91-8d36-092454ae4045,Emma Wells,person,ranger,3,Marble Plains,NA,,sa,f,,,,KHBF039
