event_datetime,latitude,longitude,details_mortality_cause,details_gir_species,details_gir_sex,details_gir_age,details_country,details_notes
2024-12-31T05:19:00Z,0.506207711,39.91083582,unnatural_poaching,reticulated,u,u,ken,"14 reticulated giraffe reportedly poached, Africa Geographic article https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517, "
2025-08-25T05:00:00Z,-2.29726,36.79385,unnatural_other,masai_masai,m,u,ken,"Likely stress? The cause is not certain - giraffe were being herded out of a fenced area (SGN's support), but the two that died appeared very weak and were not able to walk far"", "
2025-08-25T05:00:00Z,-2.29726,36.79385,unnatural_other,masai_masai,m,u,ken,"Likely stress? The cause is not certain - giraffe were being herded out of a fenced area (SGN's support), but the two that died appeared very weak and were not able to walk far"", "
2025-08-14T04:07:00Z,-2.383549,36.860567,unnatural_poaching,masai_masai,m,u,ken,"Official record from KWS was that the 2 giraffe were caught in the fence but it is assumed forced entanglement for poaching. Both giraffe were wearing SavannahTracking tail units, units were previously damaged/destroyed and straps removed"
2025-08-14T04:07:00Z,-2.383549,36.860567,unnatural_poaching,masai_masai,m,u,ken,"Official record from KWS was that the 2 giraffe were caught in the fence but it is assumed forced entanglement for poaching. Both giraffe were wearing SavannahTracking tail units, units were previously damaged/destroyed and straps removed"
2025-08-22T11:35:00Z,-1.356714236,36.78153268,unnatural_immobilisation,masai_masai,m,u,ken,"GCF01292_1866. Upon release after short road translocation, he fell when exitig the vehicle. KWS later euthanised him after reporting he was not walking well"
2025-07-13T03:34:00Z,-1.037653,35.279829,natural_predation,masai_masai,u,ca,ken,Killed by lions
2025-06-19T02:39:00Z,-1.068361,35.224449,natural_predation,masai_masai,f,ad,ken,
2024-09-01T05:22:00Z,-0.668146238,39.78428814,unnatural_poaching,reticulated,u,u,ken,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517"
2024-09-01T05:22:00Z,-0.668146238,39.78428814,unnatural_poaching,reticulated,u,u,ken,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517"
2024-09-01T05:22:00Z,-0.668146238,39.78428814,unnatural_poaching,reticulated,u,u,ken,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517"
2024-09-01T05:22:00Z,-0.668146238,39.78428814,unnatural_poaching,reticulated,u,u,ken,"76 reticulated giraffe poached between July and September 2024. Regions Garissa, Wajir, Mandera, Marsabit, and Tana River. Reported in Africa Geographic article, source was NECA CEO Sharmake Mohamed. https://africageographic.com/stories/poaching-and-trafficking-on-the-rise-in-northern-kenya-threatening-endangered-giraffe-cheetah-and-more/?mc_cid=8566464da8&mc_eid=4575224517"
