event_datetime,details_girsam_iso,details_girsam_site,details_girsam_origin,latitude,longitude,details_girsam_age,details_girsam_sex,details_girsam_type,details_girsam_smpid,details_girsam_subid,details_girsam_status,details_girsam_species,details_girsam_notes,details_girsam_smpid2
2025-08-05T12:00:00Z,zmb,Mosi Oa Tunya National Park,biopsy,-17.8845,25.83923,ad,m,tissue,MNP1,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 826, cryovial location A1",
2025-08-05T12:00:00Z,zmb,Mosi Oa Tunya National Park,biopsy,-17.8845,25.83923,ad,m,tissue,MNP2,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 828, cryovial location A2",
2025-08-05T12:00:00Z,zmb,Mosi Oa Tunya National Park,biopsy,-17.8845,25.83923,sa,f,tissue,MNP3,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 831, cryovial location A3",
2025-08-05T12:00:00Z,zmb,Mosi Oa Tunya National Park,biopsy,-17.8845,25.83923,sa,m,tissue,MNP4,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 836, cryovial location A4",
2025-08-05T12:00:00Z,zmb,Mosi Oa Tunya National Park,biopsy,-17.8845,25.83923,ad,m,tissue,MNP5,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 837, cryovial location A5",
2025-08-05T12:00:00Z,zmb,Sinde Game Ranch,biopsy,-17.75369,25.8129,ad,m,tissue,SGR1,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 839, cryovial location A6",
2025-08-05T12:00:00Z,zmb,Sinde Game Ranch,biopsy,-17.75369,25.8129,ad,f,tissue,SGR2,,collected,southern_southafrican,"Southern Province, Livingstone District, photo number 842, cryovial location A7",
2025-08-07T12:00:00Z,zmb,Makuku Farms Ltd,biopsy,-15.987694,28.053468,ad,f,tissue,MFL1,,collected,southern_southafrican,"Southern Province, Mazambuka  District, photo number 844, cryovial location A8",
2025-08-07T12:00:00Z,zmb,Makuku Farms Ltd,biopsy,-15.987694,28.053468,ad,f,tissue,MFL2,,collected,southern_southafrican,"Southern Province, Mazambuka  District, photo number 845, cryovial location A9",
2025-08-07T12:00:00Z,zmb,Chikupi Game Farm,biopsy,-15.619347,28.103491,ad,f,tissue,CGF1,,collected,southern_southafrican,"Lusaka Province, Kafue District, photo number 847, cryovial location A10",
2025-08-07T12:00:00Z,zmb,Chikupi Game Farm,biopsy,-15.619347,28.103491,ad,m,tissue,CGF2,,collected,southern_southafrican,"Lusaka Province, Kafue District, photo number 849, cryovial location B1",
2025-08-07T12:00:00Z,zmb,Chikupi Game Farm,biopsy,-15.619347,28.103491,sa,f,tissue,CGF3,,collected,southern_southafrican,"Lusaka Province, Kafue District, photo number 851, cryovial location B2",
2025-08-07T12:00:00Z,zmb,Chikupi Game Farm,biopsy,-15.619347,28.103491,ad,f,tissue,CGF4,,collected,southern_southafrican,"Lusaka Province, Kafue District, photo number 853, cryovial location B3",
2025-08-08T12:00:00Z,zmb,Eureka Game Farm,biopsy,-15.5006,28.26734,ad,m,tissue,EGF1,,collected,southern_southafrican,"Lusaka Province, Chilanga District, photo number 855, cryovial location B4, originally from Chikupi Game Farm",
2025-08-08T12:00:00Z,zmb,Eureka Game Farm,biopsy,-15.5006,28.26734,ad,f,tissue,EGF2,,collected,southern_southafrican,"Lusaka Province, Chilanga District, photo number 859, cryovial location B5",
2025-08-09T12:00:00Z,zmb,Lusaka National Park,biopsy,-15.55161,28.40476,ad,m,tissue,"LNP1A,LNP1B",,collected,southern_southafrican,"Lusaka Province, Kafue District, photo number 866, cryovial location B6 &B7",
2025-08-10T12:00:00Z,zmb,Chaminuka Game Ranch,biopsy,-15.084231,28.506293,ad,m,tissue,CGR1,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 872, cryovial location B8, originally from Zimbabwe",
2025-08-10T12:00:00Z,zmb,Chaminuka Game Ranch,biopsy,-15.084231,28.506293,ad,f,tissue,CGR2,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 874, cryovial location B9",
2025-08-10T12:00:00Z,zmb,Chaminuka Game Ranch,biopsy,-15.084231,28.506293,sa,f,tissue,CGR3,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 879, cryovial location B10",
2025-08-11T12:00:00Z,zmb,Khal Amazi Game Ranch,biopsy,-15.356833,28.509972,ad,f,tissue,KAGR1,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 895, cryovial location C1",
2025-08-11T12:00:00Z,zmb,Khal Amazi Game Ranch,biopsy,-15.356833,28.509972,ad,f,tissue,KAGR2,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 900, cryovial location C2",
2025-08-11T12:00:00Z,zmb,Khal Amazi Game Ranch,biopsy,-15.356833,28.509972,sa,f,tissue,KAGR3,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 902, cryovial location C3",
2025-08-11T12:00:00Z,zmb,Kaingo Rocks Ranch LTD,biopsy,-15.49713,28.53822,ad,m,tissue,KRR1,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 904, cryovial location C4",
2025-08-11T12:00:00Z,zmb,Kaingo Rocks Ranch LTD,biopsy,-15.49713,28.53822,ad,f,tissue,KRR2,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 906, cryovial location C5",
2025-08-11T12:00:00Z,zmb,Kaingo Rocks Ranch LTD,biopsy,-15.49713,28.53822,ad,m,tissue,KRR3,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 907, cryovial location C6",
2025-08-12T12:00:00Z,zmb,Kyindu Game Ranch,biopsy,-15.49715,28.53762,ad,m,tissue,KGR1,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 910, cryovial location C7",
2025-08-12T12:00:00Z,zmb,Kyindu Game Ranch,biopsy,-15.49715,28.53762,ad,f,tissue,KGR2,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 914, cryovial location C8",
2025-08-12T12:00:00Z,zmb,Kyindu Game Ranch,biopsy,-15.49715,28.53762,ad,f,tissue,KGR3,,collected,southern_southafrican,"Lusaka Province, Chongwe  District, photo number 913, cryovial location C9",
2025-08-12T12:00:00Z,zmb,Kachere Boran,biopsy,-14.97777,28.2527,ad,f,tissue,KAB1,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 9042, cryovial location C10",
2025-08-12T12:00:00Z,zmb,Kachere Boran,biopsy,-14.97777,28.2527,ad,m,tissue,KAB2,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 9052, cryovial location D1",
2025-08-12T12:00:00Z,zmb,Kachere Boran,biopsy,-14.97777,28.2527,ad,f,tissue,KAB3,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 9054, cryovial location D2",
2025-08-13T12:00:00Z,zmb,Ellensdale Game Ranch,biopsy,-15.2568,28.37201,sa,m,tissue,EGR1,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 945, cryovial location D3",
2025-08-13T12:00:00Z,zmb,Ellensdale Game Ranch,biopsy,-15.2568,28.37201,ad,m,tissue,EGR2,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 946, cryovial location D4",
2025-08-13T12:00:00Z,zmb,Ellensdale Game Ranch,biopsy,-15.2568,28.37201,ad,m,tissue,EGR3,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 948, cryovial location D5",
2025-08-14T12:00:00Z,zmb,Wanga Farms,biopsy,-14.88998,28.04171,ad,f,tissue,WAF1,,collected,southern_southafrican,"Central Province, Chibombo District, photo number 916, cryovial location D6",
2025-08-14T12:00:00Z,zmb,Wanga Farms,biopsy,-14.88998,28.04171,ad,m,tissue,WAF2,,collected,southern_southafrican,"Central Province, Chibombo District, photo number 914, cryovial location D7",
2025-08-14T12:00:00Z,zmb,Wanga Farms,biopsy,-14.88998,28.04171,ad,m,tissue,WAF3,,collected,southern_southafrican,"Central Province, Chibombo District, photo number 917, cryovial location D8",
2025-08-14T12:00:00Z,zmb,Mukuyu Farm,biopsy,-15.0064,28.30487,ad,f,tissue,MUF1,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 937, cryovial location D9",
2025-08-14T12:00:00Z,zmb,Mukuyu Farm,biopsy,-15.0064,28.30487,ad,f,tissue,MUF2,,collected,southern_southafrican,"Central Province, Chisamba District, photo number 929, cryovial location D10",
2025-08-14T12:00:00Z,zmb,CMR Farm,biopsy,-14.46464,28.30593,ad,f,tissue,CMR1,,collected,southern_southafrican,"Central Province, Kabwe District, photo number 960, cryovial location E1, originally from Zimbabwe in 1994",
2025-08-14T12:00:00Z,zmb,CMR Farm,biopsy,-14.46464,28.30593,ad,f,tissue,CMR2,,collected,southern_southafrican,"Central Province, Kabwe District, photo number 961, cryovial location E2",
2025-08-14T12:00:00Z,zmb,CMR Farm,biopsy,-14.46464,28.30593,ad,m,tissue,CMR3,,collected,southern_southafrican,"Central Province, Kabwe District, photo number 962, cryovial location E3",
2025-08-14T12:00:00Z,zmb,CMR Farm,biopsy,-14.46464,28.30593,ad,m,tissue,CMR4,,collected,southern_southafrican,"Central Province, Kabwe District, photo number 963, cryovial location E4",
2025-08-15T12:00:00Z,zmb,Lilayi Game Ranch,biopsy,-14.46176,28.30598,ad,m,tissue,LGR1,,collected,southern_southafrican,"Lusaka Province, Chilanga District, photo number 964, cryovial location E5",
2025-08-15T12:00:00Z,zmb,Mzimbiri Game Ranch,biopsy,-15.30412,28.03438,sa,m,tissue,MGR1,,collected,southern_southafrican,"Lusaka Province, Chilanga District, photo number 968, cryovial location E6",
2025-08-15T12:00:00Z,zmb,Mzimbiri Game Ranch,biopsy,-15.30412,28.03438,ad,f,tissue,MGR2,,collected,southern_southafrican,"Lusaka Province, Chilanga District, photo number 970, cryovial location E7",
2025-08-16T12:00:00Z,zmb,Demo Farm,biopsy,-16.51552,27.04197,sa,f,tissue,DEF1,,collected,southern_southafrican,"Southern Province, Choma District, photo number 980, cryovial location E8",
2025-08-16T12:00:00Z,zmb,Demo Farm,biopsy,-16.51552,27.04197,ad,m,tissue,DEF2,,collected,southern_southafrican,"Southern Province, Choma District, photo number 982, cryovial location E9",
